Term name,Parent Term Name,Term description,GUID,Parent GUID
Polydesmus schomburgkii,,,effbf887-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Parasundanina,,,bd6edd5e-e216-4f28-9b19-2762766511c9,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) skelicus,,,eda9b568-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Cryptops Trichocryptops,,,6f2579da-d496-4dd6-bfdf-8682306a13db,48831492-794a-4953-b38a-2384ba3e7484
Allopauropus quinquangularis,,,efe05e30-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Termitopteryx,,,e354ebb0-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus schetelyi,,,efe3014d-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Paranedyopus,,,e34c2850-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) simplex,,"subspecies of Lithobius salicis Verhoeff,  1925 according to Folkmanová (1951 - Sbornik Klubu prirodovedeckeho v Brne, 29: 100), see also Tajovský (2001 - Myriapodologica Czecho-Slovaca, 1: 45); type loc. not clearly stated; non Pokab",eda9ad95-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Cryptops gynnis,,"Substitute name for Cryptops debilis Chamberlin, 1955",024e94c8-ac8f-11e3-805d-020044200006,48831492-794a-4953-b38a-2384ba3e7484
Allopauropus pusillus,,,effc397d-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Tauricollarium,,,e3515820-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus scaber,,,f0094a86-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Paradoxosoma,,,e349d941-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) silvivagus,,,eda9aade-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Cryptops Cryptops niloticus,,,edc58baf-ac8e-11e3-805d-020044200006,48831492-794a-4953-b38a-2384ba3e7484
Allopauropus puritae,,,efe786cd-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Taulidesmus,,,e34b620c-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus sanctus,,,f009493f-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) sexustumidus,,,eda99773-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
Julus zameniscolor,,,efc76d7c-ac8e-11e3-805d-020044200006,e31265f0-ac8e-11e3-805d-020044200006
Cryptops Cryptops nepalensis,,,edc59877-ac8e-11e3-805d-020044200006,48831492-794a-4953-b38a-2384ba3e7484
Allopauropus pumilio,,,effc3d62-ac8e-11e3-805d-020044200006,e3439109-ac8e-11e3-805d-020044200006
Taulidesmella,,,e344aa93-ac8e-11e3-805d-020044200006,e2af4f42-ac8e-11e3-805d-020044200006
Polydesmus sakalava,,,f00951d9-ac8e-11e3-805d-020044200006,e342ca96-ac8e-11e3-805d-020044200006
Paracatharosoma,,,e355ccbf-ac8e-11e3-805d-020044200006,e2af5419-ac8e-11e3-805d-020044200006
Lithobius (Lithobius) separatus,,,eda99382-ac8e-11e3-805d-020044200006,800f9f4b-fe84-409c-8729-d229c1b550a6
